"incident_id","operation_name","incident_title","date","incident_type","strike_type","confirmed","origin_lat","origin_lng","origin_label","origin_sublabel","target_lat","target_lng","target_label","target_sublabel","summary","target_type","platform_or_unit","result_outcome","tags","source_type","is_retaliation","is_covert","is_first_use","disputed"
"tw-20230623085501-moscow-russia","Russia-Ukraine War","Kremlin says Putin is aware of situation with Wagner Group and all 'necessary…","Jun 23, 2023","strike","strike","FALSE","55.75","37.62","Russia (MoD)","Russian Armed Forces","55.75","37.62","Moscow","","Kremlin says Putin is aware of situation with Wagner Group and all 'necessary measures are being taken'","Military target","","","MOSCOW;RU;RUSSIA-UKRAINE-WAR;STRIKE","enriched","FALSE","FALSE","FALSE","FALSE"
"tw-20230623093001-moscow-russia","Russia-Ukraine War","WAGNER GROUP - Long-standing tensions between the mercenary group and Russia's…","Jun 23, 2023","strike","naval","FALSE","50.45","30.52","Ukraine (UAF)","Ukrainian Armed Forces","55.75","37.62","Moscow","","WAGNER GROUP - Long-standing tensions between the mercenary group and Russia's national military - Russia's Wagner group chief Yevgeny Prigozhin released video earlier today saying Russia's military l","Military target","Naval Vessel","","MOSCOW;NAVAL;RU;RUSSIA;RUSSIA-UKRAINE-WAR","enriched","TRUE","FALSE","FALSE","FALSE"
"tw-20230623103501-russia-russia","Russia-Ukraine War","Russia's FSB intelligence agency calls on Wagner Group fighters to arrest chief…","Jun 23, 2023","strike","strike","FALSE","55.75","37.62","Russia (MoD)","Russian Armed Forces","61.52","105.32","Russia","","Russia's FSB intelligence agency calls on Wagner Group fighters to arrest chief Prigozhin","Air defense / TEL","","","RU;RUSSIA;RUSSIA-UKRAINE-WAR;STRIKE","enriched","FALSE","FALSE","FALSE","FALSE"
"tw-20230623105501-russia-russia","Russia-Ukraine War","Senior Russian general Sergey Surovikin calls on Wagner Group fighters to obey…","Jun 23, 2023","strike","strike","FALSE","55.75","37.62","Russia (MoD)","Russian Armed Forces","61.52","105.32","Russia","","Senior Russian general Sergey Surovikin calls on Wagner Group fighters to obey the orders of Putin and return to bases before it is 'too late'","Military target","","","RU;RUSSIA;RUSSIA-UKRAINE-WAR;STRIKE","enriched","FALSE","FALSE","FALSE","FALSE"
"tw-20230623105501-moscow-russia","Russia-Ukraine War","Increased military vehicle presence in parts of Moscow amid tensions with Wagner…","Jun 23, 2023","strike","strike","FALSE","55.75","37.62","Russia (MoD)","Russian Armed Forces","55.75","37.62","Moscow","","Increased military vehicle presence in parts of Moscow amid tensions with Wagner Group","Military target","","","MOSCOW;RU;RUSSIA-UKRAINE-WAR;STRIKE","enriched","FALSE","FALSE","FALSE","FALSE"
"tw-20230623111001-moscow-unk","Independent Actions","Russia's state media has confirmed that security forces are on high alert and…","Jun 23, 2023","strike","strike","FALSE","","","","","55.75","37.62","Moscow","","Russia's state media has confirmed that security forces are on high alert and have deployed to protect all important sites in Moscow","Naval facility","","","MOSCOW;RU;RUSSIA;STRIKE","enriched","FALSE","FALSE","FALSE","FALSE"
"tw-20230623111001-russia-russia","Russia-Ukraine War","Wagner Group chief Prigozhin has called on Russian soldiers from the National…","Jun 23, 2023","strike","strike","FALSE","55.75","37.62","Russia (MoD)","Russian Armed Forces","61.52","105.32","Russia","","Wagner Group chief Prigozhin has called on Russian soldiers from the National Guard to join his side","Military target","","","RU;RUSSIA;RUSSIA-UKRAINE-WAR;STRIKE","enriched","FALSE","FALSE","FALSE","FALSE"
"tw-20230623121501-moscow-russia","Russia-Ukraine War","Senior American intelligence official tells Jim LaPorta","Jun 23, 2023","strike","strike","FALSE","55.75","37.62","Russia (MoD)","Russian Armed Forces","55.75","37.62","Moscow","","Senior American intelligence official tells Jim LaPorta, a reporter at The Messenger, that Wagner Group is preparing to mobilize and it is believed they want to 'head towards Moscow'","Naval facility","","","MOSCOW;RU;RUSSIA-UKRAINE-WAR;STRIKE","enriched","FALSE","FALSE","FALSE","FALSE"
"tw-20230623121501-moscow-unk","Independent Actions","Military build-up in Moscow is continuing to intensify","Jun 23, 2023","strike","strike","FALSE","","","","","55.75","37.62","Moscow","","Military build-up in Moscow is continuing to intensify, as footage shows armoured vehicles moving towards the Kremlin and the headquarters of the Ministry of Defense.","Military base / C2","","","MOSCOW;RU;STRIKE","enriched","FALSE","FALSE","FALSE","FALSE"
"tw-20230623123501-russia-russia","Russia-Ukraine War","Wagner Group chief Prigozhin says border guards were hugging his fighters on way…","Jun 23, 2023","strike","strike","FALSE","55.75","37.62","Russia (MoD)","Russian Armed Forces","61.52","105.32","Russia","","Wagner Group chief Prigozhin says border guards were hugging his fighters on way into Russia, his forces will 'destroy everything in the way'.","Military target","","","RU;RUSSIA;RUSSIA-UKRAINE-WAR;STRIKE","enriched","FALSE","FALSE","FALSE","FALSE"
"tw-20230623125001-russia-russia","Russia-Ukraine War","Wagner Group chief says the Chief of the General Staff of the Russian military…","Jun 23, 2023","strike","strike","FALSE","55.75","37.62","Russia (MoD)","Russian Armed Forces","61.52","105.32","Russia","","Wagner Group chief says the Chief of the General Staff of the Russian military has given the order to use helicopters and fire on Wagner columns","Military target","","","RU;RUSSIA;RUSSIA-UKRAINE-WAR;STRIKE","enriched","FALSE","FALSE","FALSE","FALSE"
"tw-20230623125001-russia-russia-1","Russia-Ukraine War","Wagner Group chief Prigozhin says Russian helicopter pilots refused to carry out…","Jun 23, 2023","strike","strike","FALSE","55.75","37.62","Russia (MoD)","Russian Armed Forces","61.52","105.32","Russia","","Wagner Group chief Prigozhin says Russian helicopter pilots refused to carry out orders to attack Wagner columns","Military target","","","RU;RUSSIA;RUSSIA-UKRAINE-WAR;STRIKE","enriched","FALSE","FALSE","FALSE","FALSE"
"tw-20230623131001-russia-russia","Russia-Ukraine War","RUSSIA-WAGNER - Wagner Group's chief Prigozhin claims his forces were attacked by…","Jun 23, 2023","strike","naval","FALSE","55.75","37.62","Russia (MoD)","Russian Armed Forces","61.52","105.32","Russia","","RUSSIA-WAGNER - Wagner Group's chief Prigozhin claims his forces were attacked by Russian military, vows to march and remove leadership. - Russia enhanced security in Moscow and called for the arrest ","Naval vessel","Naval Vessel","","NAVAL;RU;RUSSIA;RUSSIA-UKRAINE-WAR;US","enriched","FALSE","FALSE","FALSE","FALSE"
"tw-20230623134001-russia-russia","Russia-Ukraine War","Wagner chief Prigozhin says he is after Defense Minister Shoigu for 'destroying a…","Jun 23, 2023","strike","strike","FALSE","55.75","37.62","Russia (MoD)","Russian Armed Forces","61.52","105.32","Russia","","Wagner chief Prigozhin says he is after Defense Minister Shoigu for 'destroying a hundred thousand Russian soldiers'","Military target","","","RU;RUSSIA;RUSSIA-UKRAINE-WAR;STRIKE","enriched","FALSE","FALSE","FALSE","FALSE"
"tw-20230623134001-russia-russia-1","Russia-Ukraine War","Footage reportedly showing Wagner vehicles on the road towards Rostov","Jun 23, 2023","strike","strike","FALSE","55.75","37.62","Russia (MoD)","Russian Armed Forces","61.52","105.32","Russia","","Footage reportedly showing Wagner vehicles on the road towards Rostov, Russia.","Naval facility","","","RU;RUSSIA;RUSSIA-UKRAINE-WAR;STRIKE","enriched","FALSE","FALSE","FALSE","TRUE"
"tw-20230623141501-russia-russia","Russia-Ukraine War","Wagner Group chief Prigozhin claims his fighters have shot down a Russian helicopter","Jun 23, 2023","economic","strike","FALSE","55.75","37.62","Russia (MoD)","Russian Armed Forces","61.52","105.32","Russia","","Wagner Group chief Prigozhin claims his fighters have shot down a Russian helicopter","Military target","","","RU;RUSSIA;RUSSIA-UKRAINE-WAR;STRIKE","enriched","FALSE","FALSE","FALSE","FALSE"
"tw-20230623143001-russia-russia","Russia-Ukraine War","Footage reportedly showing clashes between Wagner Group forces and Russian…","Jun 23, 2023","strike","strike","FALSE","55.75","37.62","Russia (MoD)","Russian Armed Forces","61.52","105.32","Russia","","Footage reportedly showing clashes between Wagner Group forces and Russian military near Rostov","Naval facility","","","RU;RUSSIA;RUSSIA-UKRAINE-WAR;STRIKE","enriched","FALSE","FALSE","FALSE","TRUE"
"tw-20230623145000-russia-russia","Russia-Ukraine War","Heavy helicopter activity over Rostov","Jun 23, 2023","strike","strike","FALSE","55.75","37.62","Russia (MoD)","Russian Armed Forces","61.52","105.32","Russia","","Heavy helicopter activity over Rostov, Russia, as Wagner Group forces advance towards it.","Military target","","","RU;RUSSIA;RUSSIA-UKRAINE-WAR;STRIKE","enriched","FALSE","FALSE","FALSE","FALSE"
"tw-20230623152501-russia-russia","Russia-Ukraine War","Footage of Wagner Group forces arriving at military headquarters in Rostov","Jun 23, 2023","strike","strike","FALSE","55.75","37.62","Russia (MoD)","Russian Armed Forces","61.52","105.32","Russia","","Footage of Wagner Group forces arriving at military headquarters in Rostov, Russia.","Military base / C2","","","RU;RUSSIA;RUSSIA-UKRAINE-WAR;STRIKE","enriched","FALSE","FALSE","FALSE","FALSE"
"tw-20230623152502-russia-russia","Russia-Ukraine War","Wagner Group forces arrive at military headquarters in Rostov","Jun 23, 2023","strike","strike","FALSE","55.75","37.62","Russia (MoD)","Russian Armed Forces","61.52","105.32","Russia","","Wagner Group forces arrive at military headquarters in Rostov, Russia.","Military base / C2","","","RU;RUSSIA;RUSSIA-UKRAINE-WAR;STRIKE","enriched","FALSE","FALSE","FALSE","FALSE"
"tw-20230623154500-russia-russia","Russia-Ukraine War","Wagner Group chief says Russia must be liberated from 'people who are killing…","Jun 23, 2023","strike","strike","FALSE","55.75","37.62","Russia (MoD)","Russian Armed Forces","61.52","105.32","Russia","","Wagner Group chief says Russia must be liberated from 'people who are killing civilians'","Military target","","","RU;RUSSIA;RUSSIA-UKRAINE-WAR;STRIKE","enriched","FALSE","FALSE","FALSE","FALSE"
"tw-20230623180001-russia-russia","Russia-Ukraine War","Wagner's Prigozhin meets in Rostov military headquarters with Russia Deputy…","Jun 23, 2023","strike","strike","FALSE","55.75","37.62","Russia (MoD)","Russian Armed Forces","61.52","105.32","Russia","","Wagner's Prigozhin meets in Rostov military headquarters with Russia Deputy Defence Minister and Deputy Chief of Military Intelligence, demands to see Defense Minister Shoigu and Chief of the General ","Military base / C2","","","RU;RUSSIA;RUSSIA-UKRAINE-WAR;STRIKE","enriched","FALSE","FALSE","FALSE","FALSE"
"tw-20230623182001-russia-russia","Russia-Ukraine War","Russian security forces enter the headquarters of Wagner Group in St Petersburg","Jun 23, 2023","strike","strike","FALSE","55.75","37.62","Russia (MoD)","Russian Armed Forces","61.52","105.32","Russia","","Russian security forces enter the headquarters of Wagner Group in St Petersburg","Military base / C2","","","RU;RUSSIA;RUSSIA-UKRAINE-WAR;STRIKE","enriched","FALSE","FALSE","FALSE","FALSE"
"tw-20230623183501-moscow-russia","Russia-Ukraine War","Large Wagner Group column heads towards the Voronezh region","Jun 23, 2023","strike","strike","FALSE","55.75","37.62","Russia (MoD)","Russian Armed Forces","55.75","37.62","Moscow","","Large Wagner Group column heads towards the Voronezh region, in the direction of Moscow.","Military target","","","MOSCOW;RU;RUSSIA-UKRAINE-WAR;STRIKE","enriched","FALSE","FALSE","FALSE","FALSE"
"tw-20230623185501-russia-unk","Independent Actions","Reports that another Russian helicopter has been downed","Jun 23, 2023","economic","strike","FALSE","","","","","61.52","105.32","Russia","","Reports that another Russian helicopter has been downed","Naval facility","","","RU;RUSSIA;STRIKE","enriched","FALSE","FALSE","FALSE","FALSE"
"tw-20230623192501-russia-russia","Russia-Ukraine War","Russia's Ministry of Defence warns Wagner fighters against being part of an…","Jun 23, 2023","strike","strike","FALSE","55.75","37.62","Russia (MoD)","Russian Armed Forces","61.52","105.32","Russia","","Russia's Ministry of Defence warns Wagner fighters against being part of an 'armed coup', says they have been deceived by Prigozhin's 'criminal adventure'","Military target","","","RU;RUSSIA;RUSSIA-UKRAINE-WAR;STRIKE","enriched","FALSE","FALSE","FALSE","FALSE"
"tw-20230623202001-russia-unk","Independent Actions","Putin says 'all relevant orders have been given to the Russian military","Jun 23, 2023","strike","strike","FALSE","","","","","61.52","105.32","Russia","","Putin says 'all relevant orders have been given to the Russian military'","Military target","","","RU;RUSSIA;STRIKE","enriched","FALSE","FALSE","FALSE","FALSE"
"tw-20230623204001-russia-russia","Russia-Ukraine War","UK military intelligence says Wagner rebellion represents the 'most significant…","Jun 23, 2023","strike","strike","FALSE","55.75","37.62","Russia (MoD)","Russian Armed Forces","61.52","105.32","Russia","","UK military intelligence says Wagner rebellion represents the 'most significant challenge to the Russian state in recent times'","Air defense / TEL","","","RU;RUSSIA;RUSSIA-UKRAINE-WAR;STRIKE","enriched","FALSE","FALSE","FALSE","FALSE"
"tw-20230623213001-russia-russia","Russia-Ukraine War","Wagner-linked Telegram account says the trigger for the 'civil war' was Putin…","Jun 23, 2023","strike","strike","FALSE","55.75","37.62","Russia (MoD)","Russian Armed Forces","61.52","105.32","Russia","","Wagner-linked Telegram account says the trigger for the 'civil war' was Putin giving the order to 'neutralize the most combat-ready unit in Russia' for the sake of 'one or two traitors'.","Air defense / TEL","","","RU;RUSSIA;RUSSIA-UKRAINE-WAR;STRIKE","enriched","FALSE","FALSE","FALSE","FALSE"
"tw-20230623213002-russia-russia","Russia-Ukraine War","Russian air force has reportedly bombed Wagner vehicles on the strategic M4…","Jun 23, 2023","strike","fighter","FALSE","55.75","37.62","Russia (MoD)","Russian Armed Forces","61.52","105.32","Russia","","Russian air force has reportedly bombed Wagner vehicles on the strategic M4 highway that leads to Moscow","Naval facility","Multi-role Fighter Aircraft","","FIGHTER;RU;RUSSIA;RUSSIA-UKRAINE-WAR","enriched","FALSE","FALSE","FALSE","TRUE"
"tw-20230623215001-russia-unk","Independent Actions","Photo of downed Russian helicopter in Voronezh region","Jun 23, 2023","economic","strike","FALSE","","","","","61.52","105.32","Russia","","Photo of downed Russian helicopter in Voronezh region","Military target","","","RU;RUSSIA;STRIKE","enriched","FALSE","FALSE","FALSE","FALSE"
"tw-20230623230001-russia-unk","Independent Actions","Russian helicopter has bombed a fuel base in Voronezh","Jun 23, 2023","strike","fighter","FALSE","","","","","61.52","105.32","Russia","","Russian helicopter has bombed a fuel base in Voronezh, Russia.","Military target","Multi-role Fighter Aircraft","","FIGHTER;RU;RUSSIA","enriched","FALSE","FALSE","FALSE","FALSE"
"tw-20230623232001-russia-unk","Independent Actions","Poland puts military on high alert amid developments in Russia","Jun 23, 2023","strike","strike","FALSE","","","","","61.52","105.32","Russia","","Poland puts military on high alert amid developments in Russia","Military target","","","RU;RUSSIA;STRIKE","enriched","FALSE","FALSE","FALSE","FALSE"
"tw-20230623235501-russia-russia","Russia-Ukraine War","Wagner Group fighters are deploying anti-tank mines in Rostov","Jun 23, 2023","strike","strike","FALSE","55.75","37.62","Russia (MoD)","Russian Armed Forces","61.52","105.32","Russia","","Wagner Group fighters are deploying anti-tank mines in Rostov, Russia.","Military target","","","RU;RUSSIA;RUSSIA-UKRAINE-WAR;STRIKE","enriched","FALSE","FALSE","FALSE","FALSE"
"tw-20230623235501-russia-unk","Independent Actions","People flee from explosion in Rostov","Jun 23, 2023","strike","strike","FALSE","","","","","61.52","105.32","Russia","","People flee from explosion in Rostov, Russia.","Military target","","","RU;RUSSIA;STRIKE","enriched","FALSE","FALSE","FALSE","FALSE"
"tw-20230624020501-moscow-russia","Russia-Ukraine War","WAGNER REBELLION - Wagner forces are advancing through Lipetsk region, around 450…","Jun 24, 2023","strike","fighter","FALSE","55.75","37.62","Russia (MoD)","Russian Armed Forces","55.75","37.62","Moscow","","WAGNER REBELLION - Wagner forces are advancing through Lipetsk region, around 450 kilometers from Moscow. - Russian air force has struck Wagner convoys and defensive positions are being set up around ","Military target","Multi-role Fighter Aircraft","","FIGHTER;MOSCOW;RU;RUSSIA-UKRAINE-WAR","enriched","FALSE","FALSE","FALSE","FALSE"
"tw-20230624025500-bakhmut-russia","Russia-Ukraine War","PRIGOZHIN - Born 1st June, 1961 in Leningrad","Jun 24, 2023","strike","strike","FALSE","55.75","37.62","Russia (MoD)","Russian Armed Forces","48.6","38.0","Bakhmut","","PRIGOZHIN - Born 1st June, 1961 in Leningrad. - In 1981, sentenced to twelve years imprisonment for robbery and fraud. - Began selling hot dogs in 1990 after early release from prison. - Expanded busi","Military target","","","BAKHMUT;RUSSIA;RUSSIA-UKRAINE-WAR;STRIKE;UA;UKRAINE","enriched","FALSE","FALSE","FALSE","FALSE"
"tw-20230624063001-russia-russia","Russia-Ukraine War","Wagner-linked Telegram account says the Russian state 'no longer exists' as Putin…","Jun 24, 2023","strike","strike","FALSE","55.75","37.62","Russia (MoD)","Russian Armed Forces","61.52","105.32","Russia","","Wagner-linked Telegram account says the Russian state 'no longer exists' as Putin 'destroyed all institutions of statehood'","Air defense / TEL","","","RU;RUSSIA;RUSSIA-UKRAINE-WAR;STRIKE","enriched","FALSE","FALSE","FALSE","FALSE"
"tw-20230624064501-russia-russia","Russia-Ukraine War","Prigozhin says that his forces came within 200 kilometers of Moscow to avoid the…","Jun 24, 2023","strike","strike","FALSE","55.75","37.62","Russia (MoD)","Russian Armed Forces","61.52","105.32","Russia","","Prigozhin says that his forces came within 200 kilometers of Moscow to avoid the dismantling of Wagner, will now turn back the convoys to avoid the spilling of Russian blood.","Military target","","","RU;RUSSIA;RUSSIA-UKRAINE-WAR;STRIKE","enriched","FALSE","FALSE","FALSE","FALSE"
"tw-20230624115001-russia-russia","Russia-Ukraine War","Total of 15 personnel of the Russian military were killed in the clashes with the…","Jun 24, 2023","strike","strike","FALSE","55.75","37.62","Russia (MoD)","Russian Armed Forces","61.52","105.32","Russia","","Total of 15 personnel of the Russian military were killed in the clashes with the Wagner Group.","Military target","","","RU;RUSSIA;RUSSIA-UKRAINE-WAR;STRIKE","enriched","FALSE","FALSE","FALSE","FALSE"
"tw-20230624204001-russia-russia","Russia-Ukraine War","Telegram channel close to the Russian air force says that two airfields in Rostov…","Jun 24, 2023","strike","fighter","FALSE","55.75","37.62","Russia (MoD)","Russian Armed Forces","61.52","105.32","Russia","","Telegram channel close to the Russian air force says that two airfields in Rostov region and an air force command post remain under the control of Wagner forces.","Military base / C2","Multi-role Fighter Aircraft","","FIGHTER;RU;RUSSIA;RUSSIA-UKRAINE-WAR","enriched","FALSE","FALSE","FALSE","FALSE"
"tw-20230624205500-ukraine-russia","Russia-Ukraine War","Russian military footage claiming to show high-precision strike on Ukrainian…","Jun 24, 2023","economic","fighter","FALSE","50.45","30.52","Ukraine (UAF)","Ukrainian Armed Forces","48.38","31.17","Ukraine","","Russian military footage claiming to show high-precision strike on Ukrainian ammunition stocks in Kupyansk.","Military target","Multi-role Fighter Aircraft","","FIGHTER;RUSSIA-UKRAINE-WAR;UA;UKRAINE","enriched","FALSE","FALSE","FALSE","FALSE"
"tw-20230625013001-ukraine-russia","Russia-Ukraine War","Putin says he is confident the country will realize its objectives related to the…","Jun 25, 2023","strike","strike","FALSE","50.45","30.52","Ukraine (UAF)","Ukrainian Armed Forces","48.38","31.17","Ukraine","","Putin says he is confident the country will realize its objectives related to the military operation in Ukraine","Military target","","","RUSSIA-UKRAINE-WAR;STRIKE;UA;UKRAINE","enriched","FALSE","FALSE","FALSE","FALSE"
"tw-20230626012000-ukraine-russia","Russia-Ukraine War","Denmark says it has started training Ukrainian pilots on F-16 fighter jets","Jun 26, 2023","strike","fighter","FALSE","50.45","30.52","Ukraine (UAF)","Ukrainian Armed Forces","48.38","31.17","Ukraine","","Denmark says it has started training Ukrainian pilots on F-16 fighter jets","Military target","F-16 Fighting Falcon","","FIGHTER;RUSSIA-UKRAINE-WAR;UA;UKRAINE","enriched","FALSE","FALSE","FALSE","FALSE"
"tw-20230626013501-pakistan-unk","Independent Actions","Pakistan set to put 102 people on trial in military court over violence linked to…","Jun 26, 2023","strike","strike","FALSE","","","","","30.0","69.0","Pakistan","","Pakistan set to put 102 people on trial in military court over violence linked to the arrest of former PM Imran Khan","Military target","","","PAKISTAN;PK;STRIKE","enriched","FALSE","FALSE","FALSE","FALSE"
"tw-20230626031501-russia-unk","Independent Actions","The AFP reports that nine civilians","Jun 26, 2023","economic","fighter","FALSE","","","","","61.52","105.32","Russia","","The AFP reports that nine civilians, including two children, killed in Russian airstrikes on a fruit and vegetable market in northwest Syria.","Civilian infrastructure","Multi-role Fighter Aircraft","","FIGHTER;RU;RUSSIA","enriched","FALSE","FALSE","FALSE","FALSE"
"tw-20230626105001-ukraine-russia","Russia-Ukraine War","The US will announce $500 million in additional military aid for Ukraine","Jun 26, 2023","strike","strike","FALSE","50.45","30.52","Ukraine (UAF)","Ukrainian Armed Forces","48.38","31.17","Ukraine","","The US will announce $500 million in additional military aid for Ukraine","Military target","","","RUSSIA-UKRAINE-WAR;STRIKE;UA;UKRAINE;US","enriched","FALSE","FALSE","FALSE","FALSE"
"tw-20230626220001-russia-russia","Russia-Ukraine War","Russia's security services announce dropping legal cases against Wagner Group…","Jun 26, 2023","strike","strike","FALSE","55.75","37.62","Russia (MoD)","Russian Armed Forces","61.52","105.32","Russia","","Russia's security services announce dropping legal cases against Wagner Group fighters","Military target","","","RU;RUSSIA;RUSSIA-UKRAINE-WAR;STRIKE","enriched","FALSE","FALSE","FALSE","FALSE"
"tw-20230627064001-ukraine-russia","Russia-Ukraine War","The Pentagon announces $500 million in new military aid for Ukraine","Jun 27, 2023","strike","strike","FALSE","50.45","30.52","Ukraine (UAF)","Ukrainian Armed Forces","48.38","31.17","Ukraine","","The Pentagon announces $500 million in new military aid for Ukraine","Military target","","","RUSSIA-UKRAINE-WAR;STRIKE;UA;UKRAINE","enriched","FALSE","FALSE","FALSE","FALSE"
"tw-20230627151501-russia-russia","Russia-Ukraine War","The New York Times reports that US officials say a senior Russian general had…","Jun 27, 2023","strike","naval","FALSE","55.75","37.62","Russia (MoD)","Russian Armed Forces","61.52","105.32","Russia","","The New York Times reports that US officials say a senior Russian general had 'advance knowledge' of Wagner Group's plans to rebel against Russia's military leadership","Naval facility","Naval Vessel","","NAVAL;RU;RUSSIA;RUSSIA-UKRAINE-WAR;US","enriched","FALSE","FALSE","FALSE","FALSE"
"tw-20230628021500-russia-russia","Russia-Ukraine War","The Wall Street Journal reports that Wagner Group leader Prigozhin had a plan to…","Jun 28, 2023","economic","special_ops","FALSE","55.75","37.62","Russia (MoD)","Russian Armed Forces","61.52","105.32","Russia","","The Wall Street Journal reports that Wagner Group leader Prigozhin had a plan to capture Russia's Defence Minister and a senior general, but had to launch the plot prematurely after the FSB intelligen","Naval facility","","","RU;RUSSIA;RUSSIA-UKRAINE-WAR;SPECIAL_OPS","enriched","FALSE","FALSE","FALSE","FALSE"
"tw-20230628103501-ukraine-russia","Russia-Ukraine War","Russian general Sergei Surovikin","Jun 28, 2023","strike","special_ops","FALSE","50.45","30.52","Ukraine (UAF)","Ukrainian Armed Forces","48.38","31.17","Ukraine","","Russian general Sergei Surovikin, who was formerly commander of all Russian forces in Ukraine, has been arrested in connection with Wagner rebellion.","Military base / C2","","","RUSSIA-UKRAINE-WAR;SPECIAL_OPS;UA;UKRAINE","enriched","FALSE","FALSE","FALSE","FALSE"
"tw-20230629002002-ukraine-russia","Russia-Ukraine War","Wagner Group chief Prigozhin declines to sign contracts with Russia's Ministry of…","Jun 29, 2023","strike","strike","FALSE","50.45","30.52","Ukraine (UAF)","Ukrainian Armed Forces","48.38","31.17","Ukraine","","Wagner Group chief Prigozhin declines to sign contracts with Russia's Ministry of Defence and therefore his fighters will not take part in the Ukraine conflict","Military target","","","RUSSIA;RUSSIA-UKRAINE-WAR;STRIKE;UA;UKRAINE","enriched","FALSE","FALSE","FALSE","FALSE"
"tw-20230629062501-ukraine-russia","Russia-Ukraine War","The Wall Street Journal reports the United States is ""close"" to approving…","Jun 29, 2023","economic","missile","FALSE","50.45","30.52","Ukraine (UAF)","Ukrainian Armed Forces","48.38","31.17","Ukraine","","The Wall Street Journal reports the United States is ""close"" to approving long-range ATACMS missiles to Ukraine","Naval facility","Ballistic / Cruise Missile","","MISSILE;RUSSIA-UKRAINE-WAR;UA;UKRAINE","enriched","FALSE","FALSE","FALSE","FALSE"
"tw-20230629121001-ukraine-russia","Russia-Ukraine War","CNN reports the Biden administration is strongly considering approving transfer…","Jun 29, 2023","strike","strike","FALSE","50.45","30.52","Ukraine (UAF)","Ukrainian Armed Forces","48.38","31.17","Ukraine","","CNN reports the Biden administration is strongly considering approving transfer of cluster munition warheads to Ukraine","Naval facility","","","RUSSIA-UKRAINE-WAR;STRIKE;UA;UKRAINE","enriched","FALSE","FALSE","FALSE","FALSE"
"tw-20241119030509-ukraine-russia","Russia-Ukraine War","President Biden has authorized Ukraine to strike Russia with US-supplied long…","Nov 19, 2024","strike","missile","FALSE","50.45","30.52","Ukraine (UAF)","Ukrainian Armed Forces","48.38","31.17","Ukraine","","President Biden has authorized Ukraine to strike Russia with US-supplied long range missiles","Area / Infrastructure","Ballistic / Cruise Missile","","MISSILE;RUSSIA;RUSSIA-UKRAINE-WAR;UA;UKRAINE","enriched","FALSE","FALSE","FALSE","FALSE"
"tw-20241119104001-ukraine-russia","Russia-Ukraine War","Russia says Ukraine has fired US-supplied long range missiles into the country…","Nov 19, 2024","strike","missile","FALSE","50.45","30.52","Ukraine (UAF)","Ukrainian Armed Forces","48.38","31.17","Ukraine","","Russia says Ukraine has fired US-supplied long range missiles into the country for the first time","Area / Infrastructure","Ballistic / Cruise Missile","","MISSILE;RUSSIA;RUSSIA-UKRAINE-WAR;UA;UKRAINE","enriched","FALSE","FALSE","FALSE","FALSE"
"tw-20241120104003-ukraine-russia","Russia-Ukraine War","The Ukrainian military fired British missiles into Russian territory","Nov 20, 2024","strike","missile","FALSE","50.45","30.52","Ukraine (UAF)","Ukrainian Armed Forces","48.38","31.17","Ukraine","","The Ukrainian military fired British missiles into Russian territory","Area / Infrastructure","Ballistic / Cruise Missile","","MISSILE;RUSSIA-UKRAINE-WAR;UA;UKRAINE","enriched","FALSE","FALSE","FALSE","FALSE"
"tw-20241122181503-beirut-unk","Independent Actions","Reports of loud explosions south of Beirut","Nov 22, 2024","strike","strike","FALSE","","","","","33.89","35.5","Beirut","","Reports of loud explosions south of Beirut","Naval facility","","","BEIRUT;LB;STRIKE","enriched","FALSE","FALSE","FALSE","TRUE"
"tw-20241122185003-israel-opnort","Op. Northern Arrows","Israeli media reporting assassination strike against Hezbollah target","Nov 22, 2024","strike","strike","FALSE","31.9","34.8","Israel (IAF)","Israeli Air Force bases","31.5","34.9","Israel","","Israeli media reporting assassination strike against Hezbollah target","Naval facility","","","HEZBOLLAH;IL;ISRAEL;OP-NORTHERN-ARROWS;STRIKE","enriched","FALSE","FALSE","FALSE","FALSE"
"tw-20241122203003-israel-opnort","Op. Northern Arrows","Reports that a high profile member of Hezbollah was targeted in Israeli strike","Nov 22, 2024","strike","strike","FALSE","31.9","34.8","Israel (IAF)","Israeli Air Force bases","31.5","34.9","Israel","","Reports that a high profile member of Hezbollah was targeted in Israeli strike","Naval facility","","","HEZBOLLAH;IL;ISRAEL;OP-NORTHERN-ARROWS;STRIKE","enriched","FALSE","FALSE","FALSE","FALSE"
"tw-20241124123002-israel-unk","Independent Actions","Israeli military says it has today struck 12 Hezbollah command centers in…","Nov 24, 2024","strike","strike","FALSE","","","","","31.5","34.9","Israel","","Israeli military says it has today struck 12 Hezbollah command centers in Beirut's southern suburbs","Military base / C2","","","HEZBOLLAH;IL;ISRAEL;STRIKE","enriched","FALSE","FALSE","FALSE","FALSE"
"tw-20241125132002-lebanon-unk","Independent Actions","Israeli military launched airstrikes on the Syria-Lebanon border","Nov 25, 2024","strike","fighter","FALSE","","","","","33.9","35.5","Lebanon","","Israeli military launched airstrikes on the Syria-Lebanon border","Military target","Multi-role Fighter Aircraft","","FIGHTER;LB;LEBANON","enriched","FALSE","FALSE","FALSE","FALSE"
