"incident_id","assessment","munitions_weapons","munitions_quantity","range_km","target_depth_hardening","military_kia_friendly","military_kia_enemy","civilian_kia","military_wia_friendly","personnel_deployed","aircraft_deployed","naval_vessels","nuclear_setback_assessment","economic_impact","intercepted_munitions","key_intelligence_notes","osint_sources","press_sources","think_tank_sources"
"il-lebanon-hzb-intel-chief","Makled's elimination degrades Hezbollah's real-time intelligence on IDF movements — critical as Israel launches its ground incursion into southern Lebanon. Targeting the intelligence chief in the opening hours of an offensive is a deliberate pattern (see: 12-Day War opening salvo eliminating 40 IRGC commanders). Katz's public designation of Qassem as a 'marked target' signals an impending leadership decapitation attempt, following the same Roaring Lion doctrine applied to Khamenei. The simultaneous pursuit of Raad (political-military figure) suggests Israel is pursuing both military and political-military Hezbollah leadership simultaneously.","Precision-guided munition (type classified)","1 (precision strike)","N/A","Urban — reinforced building, Beirut area","0","Hussein Makled (Hezbollah intelligence chief, confirmed KIA); Radwan Force operative in south Lebanon (KIA)","Civilians in vicinity (unknown — not reported separately)","0","N/A","IAF","N/A","N/A","N/A","N/A","IDF pre-identified Makled as intelligence architecture lead; strike conducted within hours of Hezbollah entering war — indicates pre-planned target list was immediately activated upon Hezbollah fire","Times of Israel (confirmed IDF statement); Al Hadath (Raad body search)","Times of Israel; IDF official statement; Axios","N/A"
"il-lebanon-prewar-strikes","The IDF's continuous ceasefire-period degradation represents a sustained attrition campaign that significantly weakened Hezbollah before it re-entered open hostilities. Eliminating 267 operatives over 15 months — including missile array commanders, Radwan Unit officers, air defense personnel, and engineering department heads — systematically degraded Hezbollah's reconstitution effort. This established the conditions for the IDF's rapid offensive campaign response when Hezbollah fired in March 2026. The pattern mirrors IDF doctrine in Gaza: maintain constant pressure even under ceasefire conditions to prevent adversary reconstitution.","Air-launched PGMs; JDAM; SDB","267+ operatives KIA across campaign; 44 strikes in Feb 2026 alone","N/A","Surface — semi-rural and Beqaa Valley","0","267+ Hezbollah operatives (cumulative, Nov 2024–Feb 2026); 20 in Feb 2026","Undisclosed civilian casualties during campaign","0","N/A","Multiple IAF squadrons (persistent)","N/A","N/A","N/A","N/A","Alma Research Center tracks confirmed eliminations via open source; IRGC officers personally briefing Hezbollah missile unit in Beqaa Valley (Times of Israel, pre-war); Hezbollah refused to disarm north of Litani throughout ceasefire; Israel held 5 border positions citing security concerns","Alma Research Center (monthly strike tracker — most comprehensive OSINT source for this campaign)","Times of Israel; AFP; AP","Security Council Report; UNIFIL reports"
"epicfury-southnavhq-bandarabbas-20260301","Naval C2 disruption: this HQ reportedly coordinates the Artesh Navy Southern Fleet and operations across multiple naval regions; attribution and exact strike package not disclosed publicly.","Unknown","","","Unknown","","","","","","","","","Reuters reported large-scale shipping risk escalation; Hormuz traffic disruptions and rerouting intensified after the opening days of strikes.","","Trump publicly claimed nine Iranian warships destroyed and naval HQ pummeled; CTP-ISW linked the HQ claim to the Southern Forward Naval HQ strike.","","Reuters|https://www.reuters.com/world/middle-east/us-is-sinking-irans-navy-trump-says-2026-03-01/","CTP-ISW Iran Updates (March 1 context)|https://www.criticalthreats.org/analysis/ctp-iran-updates"
"epicfury-konarak-navalbase-20260301","Konarak appears to have suffered severe base and pier damage with multiple vessels destroyed/damaged; specific munition types and sortie counts remain undisclosed in public reporting.","Unknown","","","Unknown","","","","","","","","","","","Satellite imagery used by multiple outlets shows widespread damage at Konarak; CTP-ISW identifies Bayandor & Naghdi as the two remaining Bayandor-class patrol frigates and describes their typical escort/patrol role and armament class (guns + anti-ship missiles).","GeoConfirmed (coordinate geotag)|https://x.com/GeoConfirmed/status/2027910169770803229","Reuters satellite gallery (Konarak BDA)|https://www.reuters.com/pictures/satellite-images-show-scope-iran-strikes-2026-03-02/S6FL4RWKZNJSHH72RPYB6UVQOQ","CTP-ISW Evening Report (Mar 1 naval section)|https://www.criticalthreats.org/analysis/iran-update-evening-special-report-march-1-2026"
"epicfury-chabahar-jamaran-sunk-20260301","High-confidence vessel loss claim from CENTCOM statement; public reporting still sparse on munition type (missile/air-delivered) and exact strike geometry.","Unknown","","","Unknown","","","","","","","","","","","CTP-ISW notes Jamaran’s prior history (incl. seizure of U.S. unmanned surface vessels in Sept 2022) and role in regional maritime pressure campaigns.","","Reuters|https://www.reuters.com/world/middle-east/us-says-it-sinks-iranian-warship-2026-03-01/","CTP-ISW Evening Report (Mar 1 naval section)|https://www.criticalthreats.org/analysis/iran-update-evening-special-report-march-1-2026"
"epicfury-tomahawk-opening-salvo-20260302","Confirms maritime-launched TLAM use as part of the strike architecture; precise aimpoints, salvo size, and BDA not publicly detailed in cited material.","Tomahawk Land Attack Missile (TLAM)","Unknown","","Unknown","","","","","","","","","","","USNI also cites CENTCOM claim that Iran’s Gulf of Oman naval presence was denied within ~48 hours (11 ships to zero); treat as claim unless independently corroborated per-vessel.","","USNI|https://news.usni.org/2026/03/02/iranian-naval-forces-are-major-target-in-operation-epic-fury-strikes","CENTCOM fact sheet (assets/target types)|https://media.defense.gov/2026/Mar/03/2003882557/-1/-1/1/OPERATION-EPIC-FURY-FACT-SHEET-260303.PDF"
"epicfury-bandarabbas-shahidbagheri-20260302","High-profile maritime target: a converted container ship configured for UAV operations; public reporting does not specify whether it was struck at pier vs anchorage or the munition used.","Unknown","","","Unknown","","","","","","","","","Contributes to broader Hormuz shipping shock and risk escalation in early war days (regional shipping paralysis and anchoring reported).","","Aviation Week cites approximate dimensions and runway length; USNI notes it was attacked at berthing in Bandar Abbas within initial hours per CENTCOM post.","","Aviation Week|https://aviationweek.com/defense/budget-policy-operations/us-struck-iranian-drone-carrier-first-hours-war|USNI|https://news.usni.org/2026/03/02/iranian-naval-forces-are-major-target-in-operation-epic-fury-strikes","CTP-ISW Iran Updates (context)|https://www.criticalthreats.org/analysis/ctp-iran-updates"
"epicfury-bandarabbas-makran-forwardbase-20260302","Makran is a key enabling asset for sustained operations (forward base / aviation support); strike suggests emphasis on degrading Iran’s ability to project and sustain maritime operations.","Unknown","","","Unknown","","","","","","","","","","","TWZ notes smoke and imagery limitations can obscure full vessel BDA; USNI emphasizes multiple fires/sunken vessels across Bandar Abbas.","","The War Zone|https://www.twz.com/news-features/irans-key-naval-base-on-strait-of-hormuz-set-ablaze-from-strikes","USNI|https://news.usni.org/2026/03/02/iranian-naval-forces-are-major-target-in-operation-epic-fury-strikes"
"epicfury-bandarabbas-kurdistan-alvand-20260302","Indicates strikes expanded from combatants to logistics/afloat-basing assets; attribution and munition specifics remain undisclosed in cited reporting.","Unknown","","","Unknown","","","","","","","","","","","ABC notes U.S. claims of sinking 11 Iranian ships in the Gulf of Oman since war began (claim); CTP-ISW additionally reports smoke plume at IRGCN 3rd Naval District in Bandar Mahshahr (separate).","","ABC News Verify|https://www.abc.net.au/news/2026-03-03/satellite-images-destruction-at-oil-refinery-iran-nuclear-base/106408822","CTP-ISW Morning Report (Mar 2 naval section)|https://www.criticalthreats.org/analysis/iran-update-morning-special-report-march-2-2026"
"epicfury-bandarmahshahr-irgc-3rdnavaldistrict-20260302","Single-source (CTP-ISW) reporting in this pull; without independent imagery confirmation here, treat as possible strike/incident pending corroboration.","Unknown","","","Unknown","","","","","","","","","","","Bandar Mahshahr is on the northern Persian Gulf littoral; CTP-ISW frames these actions as aimed at limiting retaliatory attacks on shipping and U.S. Navy vessels.","",""," ""CTP-ISW Morning Report (Mar 2 naval section)|https://www.criticalthreats.org/analysis/iran-update-morning-special-report-march-2-2026"""
"epicfury-indianocean-dena-torpedo-20260304","This is a major escalation in naval operations beyond Iranian home waters; reported high casualties and demonstrates U.S. willingness to strike Iranian naval units far from the Gulf.","Torpedo (type not specified)","1","","N/A","","80+ (reported)","","","","","","N/A","Shipping paralysis around Hormuz was reported to persist for a fifth day as this strike occurred (broader naval/economic context).","","Reuters reports: 32 rescued; 87 bodies recovered; ~60 unaccounted from ~180 crew; Sri Lankan official said vessel heading back from eastern India.","","Reuters|https://www.reuters.com/world/middle-east/us-assault-iran-ahead-schedule-says-us-middle-east-commander-2026-03-04/|AP (via WTTW)|https://news.wttw.com/2026/03/04/us-sinks-iranian-warship-bombardment-iran-intensifies",""
"epicfury-b2-missile-20260301","Confirmed U.S. use of B-2s and 2,000-lb-class munitions against missile infrastructure; specific sites, weapons variants, and bomb counts not publicly specified in the cited reporting.","2,000-lb bombs (type unspecified)","","","Hardened / underground facilities (reported)","","","","","","","","Indirect (targets were missile facilities, not nuclear sites)","","","Reuters reported B-2s dropped 2,000-lb bombs on hardened, underground missile facilities; AP reported B-2s hit ballistic missile facilities with 2,000-lb bombs.","CENTCOM Operation Epic Fury fact sheet (first 72 hours)|https://www.centcom.mil/Portals/6/Documents/Publications/260303-Fact%20Sheet.pdf","AP|https://apnews.com/article/iran-israel-us-03-01-2026-693bc30bbbc98660d81f4a13f65ca10f|Reuters|https://www.reuters.com/world/us/pentagon-tells-congress-no-sign-that-iran-was-going-attack-us-first-sources-say-2026-03-02/",""
"epicfury-tehran-airforce-missilecmd-20260301","Target categories are described by AP; independent public geolocation of exact buildings/coordinates is limited in the cited sources.","Unknown (air-delivered munitions)","","","Unknown","","","","","","","","","","","CENTCOM press release describes partner strikes against IRGC C2, air defense, missile/drone launch sites, and military airfields (broad target categories consistent with AP-described strikes).","Spectator Index (Tehran explosion report)|https://www.spectator-index.com/tweet/breaking-massive-explosion-in-tehran-as-strikes-continue-target-is-not-yet-clear-2028028283741475029","AP|https://apnews.com/article/iran-israel-us-03-01-2026-693bc30bbbc98660d81f4a13f65ca10f|CENTCOM|https://www.centcom.mil/MEDIA/PRESS-RELEASES/Press-Release-View/Article/4418396/us-forces-launch-operation-epic-fury/",""
"epicfury-tehran-gandhi-iribtower-20260301","Hospital damage is corroborated by AP photo-caption reporting and a Reuters photo description; attribution and exact aimpoint remain unclear in the cited sources.","Unknown","","","Unknown","","","","","","","","","","","Reuters photo description references a damaged state TV communications tower and destroyed building next to Gandhi Hospital; AP photo-caption notes hospital damage after a strike hit a state TV communications tower and nearby buildings.","Reuters Connect photo item|https://www.reutersconnect.com/item/aftermath-of-an-israeli-and-the-us-strike-on-gandhi-hotel-hospital-in-tehran/dGFnOnJldXRlcnMuY29tLDIwMjY6bmV3c21sX01SUFJDMkJXSkFXMjdKSg","AP live updates|https://apnews.com/live/iran-war-israel-trump-lebanon-march-04-2026|Reuters Connect|https://www.reutersconnect.com/item/aftermath-of-an-israeli-and-the-us-strike-on-gandhi-hotel-hospital-in-tehran/dGFnOnJldXRlcnMuY29tLDIwMjY6bmV3c21sX01SUFJDMkJXSkFXMjdKSg",""
"epicfury-tehran-khamenei-residence-20260301","Damage is supported by satellite imagery captions; operational details (platform/munitions) and exact sub-location not provided in cited sources.","Unknown","","","Unknown","","","","","","","","","","","AP described a coordinated mission against Iranian leadership as a 'golden opportunity'; Reuters imagery captions document destruction of a Khamenei residence complex in Tehran.","Vantor satellite imagery via Reuters (gallery caption)|https://www.reuters.com/pictures/satellite-images-show-scope-iran-strikes-2026-03-02/S6FL4RWKZNJSHH72RPYB6UVQOQ/","Reuters (satellite gallery)|https://www.reuters.com/pictures/satellite-images-show-scope-iran-strikes-2026-03-02/S6FL4RWKZNJSHH72RPYB6UVQOQ/|AP|https://apnews.com/article/iran-israel-us-03-01-2026-693bc30bbbc98660d81f4a13f65ca10f",""
"epicfury-konarak-navalbase-20260301","Satellite captions indicate significant damage; public reporting does not specify the precise ships destroyed, weapon types, or sortie counts for this specific Konarak strike.","Unknown","","","Hardened base infrastructure (unknown specifics)","","","","","","","","","","","CENTCOM fact sheet lists Iranian Navy ships/submarines among target types; AP reported U.S./Israel aimed at warships and said multiple Iranian warships were sunk.","Reuters satellite imagery (Konarak captions)|https://www.reuters.com/pictures/satellite-images-show-scope-iran-strikes-2026-03-02/S6FL4RWKZNJSHH72RPYB6UVQOQ/|Konarak base coordinates|https://wikimapia.org/23263123/Konarak-naval-base","Reuters (satellite gallery)|https://www.reuters.com/pictures/satellite-images-show-scope-iran-strikes-2026-03-02/S6FL4RWKZNJSHH72RPYB6UVQOQ/|AP|https://apnews.com/article/iran-israel-us-03-01-2026-693bc30bbbc98660d81f4a13f65ca10f|CENTCOM fact sheet|https://www.centcom.mil/Portals/6/Documents/Publications/260303-Fact%20Sheet.pdf",""
"epicfury-zahedan-radar-20260301","Destruction of a radar system suggests degradation of air defense / early warning; no public details on the strike package or follow-on effects in cited sources.","Unknown","","","Unknown","","","","","","","","","","","CENTCOM press release and fact sheet list Iranian air defense capabilities / integrated air defense systems among target types.","Reuters satellite imagery (Zahedan caption)|https://www.reuters.com/pictures/satellite-images-show-scope-iran-strikes-2026-03-02/S6FL4RWKZNJSHH72RPYB6UVQOQ/|Zahedan Airport coords|https://en.wikipedia.org/wiki/Zahedan_Airport","Reuters (satellite gallery)|https://www.reuters.com/pictures/satellite-images-show-scope-iran-strikes-2026-03-02/S6FL4RWKZNJSHH72RPYB6UVQOQ/|CENTCOM|https://www.centcom.mil/MEDIA/PRESS-RELEASES/Press-Release-View/Article/4418396/us-forces-launch-operation-epic-fury/",""
"epicfury-natanz-accesspoints-20260302","Physical damage to access infrastructure appears corroborated by commercial satellite imagery; attribution (U.S. vs Israel) is not established in the cited reporting.","Unknown","","","Underground halls; access-point structures above/at entrances","","","","","","","","Potential setback to access/recovery at Natanz: Reuters cited an assessment that entrances and the only vehicle access ramp cover were destroyed; may affect recoverable centrifuges/equipment.","","","Reuters cited the Institute for Science and International Security (David Albright) as assessing two strikes on access points; AP reported Iran’s envoy to IAEA said Natanz was targeted on Sunday; Reuters satellite captions show new building damage at Natanz on March 2.","Vantor satellite imagery via Reuters|https://www.reuters.com/world/middle-east/no-sign-irans-nuclear-sites-were-hit-iaea-says-iran-alleges-one-was-2026-03-02/|Natanz coordinates|https://en.wikipedia.org/wiki/Natanz_Nuclear_Facility","Reuters|https://www.reuters.com/world/middle-east/no-sign-irans-nuclear-sites-were-hit-iaea-says-iran-alleges-one-was-2026-03-02/|AP|https://apnews.com/article/iran-israel-us-03-02-2026-cb42936de1d8c261be8f30f11c6665fa|Reuters (satellite gallery)|https://www.reuters.com/pictures/satellite-images-show-scope-iran-strikes-2026-03-02/S6FL4RWKZNJSHH72RPYB6UVQOQ/","Institute for Science and International Security (referenced via Reuters)"
"epicfury-choqabalk-dronebase-20260302","Satellite captions indicate significant damage; public reporting does not specify which drone units were based there or the exact strike package.","Unknown","","","Unknown","","","","","","","","","","","CENTCOM press release lists 'missile and drone launch sites' among target categories for Operation Epic Fury; Reuters satellite captions document damage at the named drone base.","Choqa Balk-e Alireza coordinates|https://www.tageo.com/index-e-ir-v-13-d-m5040332.htm|Reuters satellite imagery caption|https://www.reuters.com/pictures/satellite-images-show-scope-iran-strikes-2026-03-02/S6FL4RWKZNJSHH72RPYB6UVQOQ/","Reuters (satellite gallery)|https://www.reuters.com/pictures/satellite-images-show-scope-iran-strikes-2026-03-02/S6FL4RWKZNJSHH72RPYB6UVQOQ/|CENTCOM|https://www.centcom.mil/MEDIA/PRESS-RELEASES/Press-Release-View/Article/4418396/us-forces-launch-operation-epic-fury/",""
"epicfury-bandarabbas-harbor-vessel-20260302","Physical hit on a vessel at the harbor is supported by satellite captioning; attribution and vessel identity are not provided in the cited sources.","Unknown","","","Unknown","","","","","","","","","","","Reuters satellite caption notes a vessel hit; broader reporting indicates U.S./Israel targeted Iranian naval assets during the campaign.","Bandar Abbas port coordinates|https://magicport.ai/ports/iran/bandar-abbas-port-irbnd|Reuters satellite imagery caption|https://www.reuters.com/pictures/satellite-images-show-scope-iran-strikes-2026-03-02/S6FL4RWKZNJSHH72RPYB6UVQOQ/","Reuters (satellite gallery)|https://www.reuters.com/pictures/satellite-images-show-scope-iran-strikes-2026-03-02/S6FL4RWKZNJSHH72RPYB6UVQOQ/|AP|https://apnews.com/article/iran-israel-us-03-01-2026-693bc30bbbc98660d81f4a13f65ca10f",""
"epicfury-qom-assemblyexperts-20260303","Target description is based on Iranian media reports cited by Reuters/AP; on-the-ground independent confirmation and casualty details were unclear in the cited coverage.","Unknown","","","Unknown","","","","","","","","","","","Reuters: Iranian news agencies described the Assembly of Experts building as flattened; AP-affiliate report: strikes in Qom reported, building said empty.","Qom coordinates|https://www.latlong.net/place/qom-city-qom-province-iran-31325.html","Reuters|https://www.reuters.com/world/middle-east/netanyahu-says-us-israel-war-iran-not-going-take-years-2026-03-03/|AP affiliate (AP byline)|https://www.wvtm13.com/article/us-israel-strike-tehran-war-escalates/70601181",""
"epicfury-tehran-irib-mehrabad-20260303","Reuters provides the core description; additional independent detail on damage/casualties in the cited window is limited.","Unknown","","","Unknown","","","","","","","","","","","This strike reporting aligns with broader descriptions of sustained attacks in Tehran on March 3.","Mehrabad coordinates|https://en.wikipedia.org/wiki/Mehrabad_International_Airport","Reuters|https://www.reuters.com/world/middle-east/netanyahu-says-us-israel-war-iran-not-going-take-years-2026-03-03/|AP|https://apnews.com/article/iran-israel-us-03-03-2026-8755877b603e46ed3df8107689c1ee23",""
"epicfury-tehran-minzadehei-underground-20260303","This is a claim attributed to the Israeli military in Reuters reporting; independent imagery or official corroboration is not included in the cited sources here.","Unknown","","","Underground facility (reported)","","","","","","","","Unknown (damage not independently confirmed)","","","Reuters notes the claim as part of broader Tehran strikes on March 3.","","Reuters|https://www.reuters.com/world/middle-east/netanyahu-says-us-israel-war-iran-not-going-take-years-2026-03-03/",""
"epicfury-tehran-presidential-complex-20260303","Damage is supported by commercial satellite imagery cited by AP; attribution and casualty reporting are uncertain in the cited coverage.","Unknown","","","Unknown","","","","","","","","","","","The cited AP report states Iran did not acknowledge the damage or report casualties; imagery credited to Vantor.","Vantor satellite imagery (as cited by AP)|https://apnews.com/article/iran-israel-us-03-03-2026-8755877b603e46ed3df8107689c1ee23","AP|https://apnews.com/article/iran-israel-us-03-03-2026-8755877b603e46ed3df8107689c1ee23",""
"epicfury-minab-school-20260301","Casualty figures and target description rely on Iranian official/media claims cited by AP/Reuters; independent verification is not included in the cited sources here.","Unknown","","","None","","","","","","","","","","","AP cites Iranian FM claim and imagery of graves; Reuters cites Iranian reporting and notes UN human rights office demanded an investigation.","Minab coordinates|https://en.wikipedia.org/wiki/Minab","AP|https://apnews.com/article/iran-israel-us-03-02-2026-cb42936de1d8c261be8f30f11c6665fa|Reuters|https://www.reuters.com/world/middle-east/netanyahu-says-us-israel-war-iran-not-going-take-years-2026-03-03/",""
